Hora,Entidad,Municipioenqueselevioporultimavez,Estatura,Sexo,Edad
11:00:AM,ESTADODEMEXICO,CHALCO,0.7,HOMBRE,2
6:00:AM,GUERRERO,CHILPANCINGODELOSBRAVO,0.7,MUJER,2
3:30:AM,PUEBLA,ACAJETE,0.7,HOMBRE,2
10:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.7,HOMBRE,3
1:30:AM,ESTADODEMEXICO,TOLUCA,0.7,MUJER,3
9:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.7,HOMBRE,3
12:00:PM,ESTADODEMEXICO,TEXCOCO,0.7,HOMBRE,3
10:13:AM,GUERRERO,TLALCHAPA,0.7,HOMBRE,3
9:30:AM,PUEBLA,PUEBLA,0.7,HOMBRE,3
4:00:24AM,ESTADODEMEXICO,IXTAPALUCA,0.7,MUJER,4
10:00:AM,PUEBLA,HUEJOTZINGO,0.7,HOMBRE,4
3:00:AM,JALISCO,ELSALTO,0.7,MUJER,6
12:00:PM,TAMAULIPAS,NUEVOLAREDO,0.7,HOMBRE,7
8:30:AM,ESTADODEMEXICO,VILLAVICTORIA,0.7,HOMBRE,7
8:00:AM,JALISCO,ZAPOPAN,0.7,HOMBRE,10
1:30:AM,PUEBLA,SANPEDROCHOLULA,0.7,MUJER,null
11:00:AM,PUEBLA,PUEBLA,0.7,HOMBRE,null
11:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.7,MUJER,null
6:00:AM,PUEBLA,PUEBLA,0.73,MUJER,1
6:00:AM,SINALOA,AHOME,0.73,HOMBRE,4
12:00:PM,CIUDADDEMEXICO,GUSTAVOA.MADERO,0.73,MUJER,null
12:00:PM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.73,HOMBRE,null
4:00:AM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.75,MUJER,1
12:00:PM,COLIMA,COLIMA,0.75,MUJER,1
12:00:PM,VERACRUZ,MISANTLA,0.75,HOMBRE,2
12:00:PM,ESTADODEMEXICO,IXTLAHUACA,0.75,MUJER,3
8:30:AM,TAMAULIPAS,REYNOSA,0.75,HOMBRE,4
11:00:AM,GUERRERO,CHILPANCINGODELOSBRAVO,0.76,MUJER,1
12:45:PM,ESTADODEMEXICO,METEPEC,0.77,MUJER,null
9:00:AM,ESTADODEMEXICO,ATIZAPANDEZARAGOZA,0.78,MUJER,3
5:00:41AM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.8,HOMBRE,1
4:30:AM,ESTADODEMEXICO,HUIXQUILUCAN,0.8,MUJER,1
3:30:AM,ESTADODEMEXICO,TOLUCA,0.8,HOMBRE,1
9:00:AM,ESTADODEMEXICO,TOLUCA,0.8,HOMBRE,1
8:00:AM,PUEBLA,TECAMACHALCO,0.8,HOMBRE,1
11:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.8,HOMBRE,1
10:30:AM,ESTADODEMEXICO,TOLUCA,0.8,HOMBRE,1
4:00:AM,ESTADODEMEXICO,CHIMALHUACAN,0.8,MUJER,1
12:00:PM,COLIMA,CUAUHTEMOC,0.8,HOMBRE,1
2:30:AM,PUEBLA,RAFAELLARAGRAJALES,0.8,MUJER,1
11:00:13AM,ESTADODEMEXICO,TOLUCA,0.8,HOMBRE,2
11:58:57AM,ESTADODEMEXICO,TOLUCA,0.8,MUJER,2
3:22:51AM,ESTADODEMEXICO,TOLUCA,0.8,HOMBRE,2
5:00:AM,GUERRERO,IGUALADELAINDEPENDENCIA,0.8,HOMBRE,2
10:00:AM,PUEBLA,PUEBLA,0.8,MUJER,2
5:20:AM,ESTADODEMEXICO,IXTAPALUCA,0.8,HOMBRE,2
8:30:AM,GUERRERO,ZIHUATANEJODEAZUETA,0.8,HOMBRE,2
12:00:PM,COAHUILADEZARAGOZA,TORREON,0.8,HOMBRE,2
2:00:AM,GUERRERO,IGUALADELAINDEPENDENCIA,0.8,MUJER,2
12:00:PM,MORELOS,CUERNAVACA,0.8,MUJER,2
9:00:AM,QUERETARO,QUERETARO,0.8,HOMBRE,2
3:45:AM,CHIAPAS,LASROSAS,0.8,MUJER,2
9:00:AM,ESTADODEMEXICO,TOLUCA,0.8,HOMBRE,2
6:30:AM,ESTADODEMEXICO,CHALCO,0.8,HOMBRE,2
8:00:AM,ESTADODEMEXICO,VILLAVICTORIA,0.8,HOMBRE,2
8:30:AM,ESTADODEMEXICO,VALLEDECHALCOSOLIDARIDAD,0.8,MUJER,2
1:00:19AM,ESTADODEMEXICO,TEOLOYUCAN,0.8,MUJER,3
5:45:43AM,ESTADODEMEXICO,null,0.8,HOMBRE,3
7:30:01AM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.8,MUJER,3
5:00:AM,SINALOA,ESCUINAPA,0.8,MUJER,3
12:00:PM,TAMAULIPAS,VICTORIA,0.8,MUJER,3
12:00:PM,SINALOA,CULIACAN,0.8,HOMBRE,3
7:30:AM,MORELOS,CUERNAVACA,0.8,MUJER,3
12:00:PM,COAHUILADEZARAGOZA,TORREON,0.8,HOMBRE,3
2:00:AM,CHIAPAS,BERRIOZABAL,0.8,HOMBRE,3
8:00:AM,ESTADODEMEXICO,SANMATEOATENCO,0.8,HOMBRE,3
11:30:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.8,MUJER,3
11:00:AM,PUEBLA,PUEBLA,0.8,MUJER,3
1:30:AM,ESTADODEMEXICO,TENANCINGO,0.8,MUJER,3
6:00:AM,ESTADODEMEXICO,TENANCINGO,0.8,MUJER,3
5:00:AM,PUEBLA,PUEBLA,0.8,MUJER,3
2:00:AM,PUEBLA,PUEBLA,0.8,MUJER,3
4:30:04AM,ESTADODEMEXICO,TOLUCA,0.8,MUJER,4
11:00:27AM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.8,HOMBRE,4
9:00:AM,ESTADODEMEXICO,TOLUCA,0.8,HOMBRE,4
1:00:AM,ESTADODEMEXICO,VALLEDECHALCOSOLIDARIDAD,0.8,MUJER,4
5:00:AM,PUEBLA,PUEBLA,0.8,MUJER,4
5:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.8,MUJER,4
3:45:AM,JALISCO,TONALA,0.8,HOMBRE,5
10:00:AM,GUERRERO,CHILPANCINGODELOSBRAVO,0.8,HOMBRE,5
2:00:AM,CHIAPAS,SANCRISTOBALDELASCASAS,0.8,HOMBRE,5
5:00:AM,PUEBLA,IZUCARDEMATAMOROS,0.8,HOMBRE,8
10:03:AM,PUEBLA,HUEYTAMALCO,0.8,MUJER,10
6:57:35AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.8,HOMBRE,null
12:00:PM,TAMAULIPAS,NUEVOLAREDO,0.8,HOMBRE,null
2:00:AM,ESTADODEMEXICO,VALLEDECHALCOSOLIDARIDAD,0.8,HOMBRE,null
7:30:AM,ESTADODEMEXICO,JILOTEPEC,0.8,HOMBRE,null
11:30:AM,ESTADODEMEXICO,CUAUTITLANIZCALLI,0.81,HOMBRE,2
5:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.81,MUJER,2
9:00:AM,SINALOA,CULIACAN,0.81,MUJER,3
8:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.81,MUJER,3
3:30:AM,ESTADODEMEXICO,SANMATEOATENCO,0.82,MUJER,1
8:00:AM,ESTADODEMEXICO,CHIMALHUACAN,0.82,HOMBRE,2
5:00:AM,PUEBLA,PUEBLA,0.82,HOMBRE,2
7:30:AM,ESTADODEMEXICO,TEMASCALCINGO,0.82,HOMBRE,2
2:00:AM,PUEBLA,PUEBLA,0.82,HOMBRE,3
10:00:AM,SONORA,PUERTOPEÑASCO,0.82,HOMBRE,52
8:00:AM,MORELOS,CUERNAVACA,0.83,HOMBRE,1
10:00:AM,ESTADODEMEXICO,VALLEDECHALCOSOLIDARIDAD,0.84,HOMBRE,1
6:00:AM,SINALOA,CULIACAN,0.84,HOMBRE,3
6:12:AM,SINALOA,CULIACAN,0.84,MUJER,null
12:00:PM,PUEBLA,CHIGNAHUAPAN,0.85,HOMBRE,1
12:30:PM,ESTADODEMEXICO,VALLEDECHALCOSOLIDARIDAD,0.85,MUJER,1
8:00:AM,ESTADODEMEXICO,TOLUCA,0.85,MUJER,1
11:00:AM,PUEBLA,PUEBLA,0.85,HOMBRE,1
11:00:AM,ESTADODEMEXICO,TECAMAC,0.85,MUJER,2
1:00:AM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.85,MUJER,2
7:20:AM,PUEBLA,PUEBLA,0.85,MUJER,2
9:00:AM,PUEBLA,PUEBLA,0.85,HOMBRE,3
11:10:AM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.85,MUJER,3
1:00:AM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.85,HOMBRE,3
5:15:AM,ESTADODEMEXICO,IXTAPALUCA,0.85,HOMBRE,3
2:00:AM,PUEBLA,PUEBLA,0.85,MUJER,3
12:00:PM,ESTADODEMEXICO,TIANGUISTENCO,0.85,MUJER,3
3:00:54AM,ESTADODEMEXICO,TOLUCA,0.85,HOMBRE,5
10:00:18AM,ESTADODEMEXICO,IXTLAHUACA,0.85,HOMBRE,5
12:00:PM,PUEBLA,CUETZALANDELPROGRESO,0.85,MUJER,6
2:20:AM,ESTADODEMEXICO,CHIMALHUACAN,0.86,MUJER,2
3:15:AM,PUEBLA,TEZIUTLAN,0.87,HOMBRE,3
6:00:AM,ESTADODEMEXICO,TULTEPEC,0.89,HOMBRE,2
12:00:PM,VERACRUZ,SANANDRESTUXTLA,0.9,MUJER,1
8:00:AM,GUERRERO,ACAPULCODEJUAREZ,0.9,MUJER,1
6:00:AM,PUEBLA,PUEBLA,0.9,MUJER,1
9:00:AM,ESTADODEMEXICO,ATIZAPANDEZARAGOZA,0.9,HOMBRE,1
9:16:AM,COAHUILADEZARAGOZA,TORREON,0.9,MUJER,1
11:30:AM,PUEBLA,PUEBLA,0.9,MUJER,1
2:00:AM,PUEBLA,ACATZINGO,0.9,MUJER,1
12:00:PM,MICHOACAN,JACONA,0.9,HOMBRE,2
12:00:PM,TAMAULIPAS,NUEVOLAREDO,0.9,HOMBRE,2
12:00:PM,TAMAULIPAS,NUEVOLAREDO,0.9,MUJER,2
